run_id,read_format,task_id,repeat,disk_write_success,test_success,overall_success,latency_ms
"READ_REP_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep1","LINE_NUMBERED","M4_OVERWRITE_PROOF",1,false,null,false,1
"READ_REP_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep2","LINE_NUMBERED","M4_OVERWRITE_PROOF",2,false,null,false,1
"READ_REP_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep3","LINE_NUMBERED","M4_OVERWRITE_PROOF",3,false,null,false,0
"READ_REP_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep4","LINE_NUMBERED","M4_OVERWRITE_PROOF",4,false,null,false,1
"READ_REP_LINE_NUMBERED_M4_OVERWRITE_PROOF_rep5","LINE_NUMBERED","M4_OVERWRITE_PROOF",5,false,null,false,1
"READ_REP_LINE_NUMBERED_M5_SMALL_PATCH_rep1","LINE_NUMBERED","M5_SMALL_PATCH",1,false,null,false,1
"READ_REP_LINE_NUMBERED_M5_SMALL_PATCH_rep2","LINE_NUMBERED","M5_SMALL_PATCH",2,false,null,false,0
"READ_REP_LINE_NUMBERED_M5_SMALL_PATCH_rep3","LINE_NUMBERED","M5_SMALL_PATCH",3,false,null,false,1
"READ_REP_LINE_NUMBERED_M5_SMALL_PATCH_rep4","LINE_NUMBERED","M5_SMALL_PATCH",4,false,null,false,0
"READ_REP_LINE_NUMBERED_M5_SMALL_PATCH_rep5","LINE_NUMBERED","M5_SMALL_PATCH",5,false,null,false,1
"READ_REP_RAW_WITH_METADATA_M1_EXACT_FILE_rep1","RAW_WITH_METADATA","M1_EXACT_FILE",1,false,false,false,2
"READ_REP_RAW_WITH_METADATA_M1_EXACT_FILE_rep2","RAW_WITH_METADATA","M1_EXACT_FILE",2,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M1_EXACT_FILE_rep3","RAW_WITH_METADATA","M1_EXACT_FILE",3,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M1_EXACT_FILE_rep4","RAW_WITH_METADATA","M1_EXACT_FILE",4,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M1_EXACT_FILE_rep5","RAW_WITH_METADATA","M1_EXACT_FILE",5,false,false,false,0
"READ_REP_RAW_WITH_METADATA_M2_DISCOVER_FILE_rep1","RAW_WITH_METADATA","M2_DISCOVER_FILE",1,false,false,false,0
"READ_REP_RAW_WITH_METADATA_M2_DISCOVER_FILE_rep2","RAW_WITH_METADATA","M2_DISCOVER_FILE",2,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M2_DISCOVER_FILE_rep3","RAW_WITH_METADATA","M2_DISCOVER_FILE",3,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M2_DISCOVER_FILE_rep4","RAW_WITH_METADATA","M2_DISCOVER_FILE",4,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M2_DISCOVER_FILE_rep5","RAW_WITH_METADATA","M2_DISCOVER_FILE",5,false,false,false,2
"READ_REP_RAW_WITH_METADATA_M3_NESTED_FILE_rep1","RAW_WITH_METADATA","M3_NESTED_FILE",1,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M3_NESTED_FILE_rep2","RAW_WITH_METADATA","M3_NESTED_FILE",2,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M3_NESTED_FILE_rep3","RAW_WITH_METADATA","M3_NESTED_FILE",3,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M3_NESTED_FILE_rep4","RAW_WITH_METADATA","M3_NESTED_FILE",4,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M3_NESTED_FILE_rep5","RAW_WITH_METADATA","M3_NESTED_FILE",5,false,false,false,1
"READ_REP_RAW_WITH_METADATA_M4_OVERWRITE_PROOF_rep1","RAW_WITH_METADATA","M4_OVERWRITE_PROOF",1,false,null,false,1
"READ_REP_RAW_WITH_METADATA_M4_OVERWRITE_PROOF_rep2","RAW_WITH_METADATA","M4_OVERWRITE_PROOF",2,false,null,false,1
"READ_REP_RAW_WITH_METADATA_M4_OVERWRITE_PROOF_rep3","RAW_WITH_METADATA","M4_OVERWRITE_PROOF",3,false,null,false,1
"READ_REP_RAW_WITH_METADATA_M4_OVERWRITE_PROOF_rep4","RAW_WITH_METADATA","M4_OVERWRITE_PROOF",4,false,null,false,0
"READ_REP_RAW_WITH_METADATA_M4_OVERWRITE_PROOF_rep5","RAW_WITH_METADATA","M4_OVERWRITE_PROOF",5,false,null,false,1
"READ_REP_RAW_WITH_METADATA_M5_SMALL_PATCH_rep1","RAW_WITH_METADATA","M5_SMALL_PATCH",1,false,null,false,0
"READ_REP_RAW_WITH_METADATA_M5_SMALL_PATCH_rep2","RAW_WITH_METADATA","M5_SMALL_PATCH",2,false,null,false,0
"READ_REP_RAW_WITH_METADATA_M5_SMALL_PATCH_rep3","RAW_WITH_METADATA","M5_SMALL_PATCH",3,false,null,false,1
"READ_REP_RAW_WITH_METADATA_M5_SMALL_PATCH_rep4","RAW_WITH_METADATA","M5_SMALL_PATCH",4,false,null,false,1
"READ_REP_RAW_WITH_METADATA_M5_SMALL_PATCH_rep5","RAW_WITH_METADATA","M5_SMALL_PATCH",5,false,null,false,1
"READ_REP_BOUNDED_RAW_METADATA_M1_EXACT_FILE_rep1","BOUNDED_RAW_METADATA","M1_EXACT_FILE",1,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M1_EXACT_FILE_rep2","BOUNDED_RAW_METADATA","M1_EXACT_FILE",2,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M1_EXACT_FILE_rep3","BOUNDED_RAW_METADATA","M1_EXACT_FILE",3,false,false,false,2
"READ_REP_BOUNDED_RAW_METADATA_M1_EXACT_FILE_rep4","BOUNDED_RAW_METADATA","M1_EXACT_FILE",4,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M1_EXACT_FILE_rep5","BOUNDED_RAW_METADATA","M1_EXACT_FILE",5,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M2_DISCOVER_FILE_rep1","BOUNDED_RAW_METADATA","M2_DISCOVER_FILE",1,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M2_DISCOVER_FILE_rep2","BOUNDED_RAW_METADATA","M2_DISCOVER_FILE",2,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M2_DISCOVER_FILE_rep3","BOUNDED_RAW_METADATA","M2_DISCOVER_FILE",3,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M2_DISCOVER_FILE_rep4","BOUNDED_RAW_METADATA","M2_DISCOVER_FILE",4,false,false,false,0
"READ_REP_BOUNDED_RAW_METADATA_M2_DISCOVER_FILE_rep5","BOUNDED_RAW_METADATA","M2_DISCOVER_FILE",5,false,false,false,0
"READ_REP_BOUNDED_RAW_METADATA_M3_NESTED_FILE_rep1","BOUNDED_RAW_METADATA","M3_NESTED_FILE",1,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M3_NESTED_FILE_rep2","BOUNDED_RAW_METADATA","M3_NESTED_FILE",2,false,false,false,2
"READ_REP_BOUNDED_RAW_METADATA_M3_NESTED_FILE_rep3","BOUNDED_RAW_METADATA","M3_NESTED_FILE",3,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M3_NESTED_FILE_rep4","BOUNDED_RAW_METADATA","M3_NESTED_FILE",4,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M3_NESTED_FILE_rep5","BOUNDED_RAW_METADATA","M3_NESTED_FILE",5,false,false,false,1
"READ_REP_BOUNDED_RAW_METADATA_M4_OVERWRITE_PROOF_rep1","BOUNDED_RAW_METADATA","M4_OVERWRITE_PROOF",1,false,null,false,1
"READ_REP_BOUNDED_RAW_METADATA_M4_OVERWRITE_PROOF_rep2","BOUNDED_RAW_METADATA","M4_OVERWRITE_PROOF",2,false,null,false,1
"READ_REP_BOUNDED_RAW_METADATA_M4_OVERWRITE_PROOF_rep3","BOUNDED_RAW_METADATA","M4_OVERWRITE_PROOF",3,false,null,false,0
"READ_REP_BOUNDED_RAW_METADATA_M4_OVERWRITE_PROOF_rep4","BOUNDED_RAW_METADATA","M4_OVERWRITE_PROOF",4,false,null,false,0
"READ_REP_BOUNDED_RAW_METADATA_M4_OVERWRITE_PROOF_rep5","BOUNDED_RAW_METADATA","M4_OVERWRITE_PROOF",5,false,null,false,1
"READ_REP_BOUNDED_RAW_METADATA_M5_SMALL_PATCH_rep1","BOUNDED_RAW_METADATA","M5_SMALL_PATCH",1,false,null,false,1
"READ_REP_BOUNDED_RAW_METADATA_M5_SMALL_PATCH_rep2","BOUNDED_RAW_METADATA","M5_SMALL_PATCH",2,false,null,false,1
"READ_REP_BOUNDED_RAW_METADATA_M5_SMALL_PATCH_rep3","BOUNDED_RAW_METADATA","M5_SMALL_PATCH",3,false,null,false,0
"READ_REP_BOUNDED_RAW_METADATA_M5_SMALL_PATCH_rep4","BOUNDED_RAW_METADATA","M5_SMALL_PATCH",4,false,null,false,0
"READ_REP_BOUNDED_RAW_METADATA_M5_SMALL_PATCH_rep5","BOUNDED_RAW_METADATA","M5_SMALL_PATCH",5,false,null,false,1
