run_id,task_id,repeat,disk_write_success,test_success,clean_audit,overall_success,latency_ms
"BASE_VERIFY_M6_PRESERVE_SENTINELS_rep2","M6_PRESERVE_SENTINELS",2,true,null,true,true,26933
"BASE_VERIFY_M6_PRESERVE_SENTINELS_rep3","M6_PRESERVE_SENTINELS",3,true,null,true,true,26783
"BASE_VERIFY_M6_PRESERVE_SENTINELS_rep4","M6_PRESERVE_SENTINELS",4,true,null,true,true,23027
"BASE_VERIFY_M6_PRESERVE_SENTINELS_rep5","M6_PRESERVE_SENTINELS",5,true,null,true,true,30384
"BASE_VERIFY_M7_LINE_ENDINGS_rep1","M7_LINE_ENDINGS",1,false,null,true,false,30070
"BASE_VERIFY_M7_LINE_ENDINGS_rep2","M7_LINE_ENDINGS",2,false,null,true,false,31170
"BASE_VERIFY_M7_LINE_ENDINGS_rep3","M7_LINE_ENDINGS",3,false,null,true,false,29564
"BASE_VERIFY_M7_LINE_ENDINGS_rep4","M7_LINE_ENDINGS",4,false,null,true,false,28194
"BASE_VERIFY_M7_LINE_ENDINGS_rep5","M7_LINE_ENDINGS",5,false,null,true,false,28179
"BASE_VERIFY_M8_DISTRACTOR_FILES_rep1","M8_DISTRACTOR_FILES",1,false,false,true,false,34205
"BASE_VERIFY_M8_DISTRACTOR_FILES_rep2","M8_DISTRACTOR_FILES",2,false,false,true,false,34825
"BASE_VERIFY_M8_DISTRACTOR_FILES_rep3","M8_DISTRACTOR_FILES",3,false,false,true,false,44250
"BASE_VERIFY_M8_DISTRACTOR_FILES_rep4","M8_DISTRACTOR_FILES",4,false,false,true,false,44837
"BASE_VERIFY_M8_DISTRACTOR_FILES_rep5","M8_DISTRACTOR_FILES",5,false,false,true,false,46971
"BASE_VERIFY_M9_DISAMBIGUATION_rep1","M9_DISAMBIGUATION",1,true,true,true,true,45166
"BASE_VERIFY_M9_DISAMBIGUATION_rep2","M9_DISAMBIGUATION",2,true,true,true,true,44573
"BASE_VERIFY_M9_DISAMBIGUATION_rep3","M9_DISAMBIGUATION",3,true,true,true,true,44526
"BASE_VERIFY_M9_DISAMBIGUATION_rep4","M9_DISAMBIGUATION",4,true,true,true,true,45110
"BASE_VERIFY_M9_DISAMBIGUATION_rep5","M9_DISAMBIGUATION",5,true,true,true,true,44716
"BASE_VERIFY_M10_RETRY_RECOVERY_rep1","M10_RETRY_RECOVERY",1,true,true,true,true,50048
"BASE_VERIFY_M10_RETRY_RECOVERY_rep2","M10_RETRY_RECOVERY",2,true,true,true,true,51127
"BASE_VERIFY_M10_RETRY_RECOVERY_rep3","M10_RETRY_RECOVERY",3,false,false,true,false,62830
"BASE_VERIFY_M10_RETRY_RECOVERY_rep4","M10_RETRY_RECOVERY",4,true,true,true,true,151235
"BASE_VERIFY_M10_RETRY_RECOVERY_rep5","M10_RETRY_RECOVERY",5,true,true,true,true,152884
"BASE_VERIFY_M11_CONSTRAINT_RETENTION_rep1","M11_CONSTRAINT_RETENTION",1,false,false,true,false,8481
"BASE_VERIFY_M11_CONSTRAINT_RETENTION_rep2","M11_CONSTRAINT_RETENTION",2,false,false,true,false,12443
"BASE_VERIFY_M11_CONSTRAINT_RETENTION_rep3","M11_CONSTRAINT_RETENTION",3,false,false,true,false,6607
"BASE_VERIFY_M11_CONSTRAINT_RETENTION_rep4","M11_CONSTRAINT_RETENTION",4,false,false,true,false,14494
"BASE_VERIFY_M11_CONSTRAINT_RETENTION_rep5","M11_CONSTRAINT_RETENTION",5,false,false,true,false,6720
"BASE_VERIFY_M12_FOCUSED_FILE_rep1","M12_FOCUSED_FILE",1,false,false,true,false,102307
"BASE_VERIFY_M12_FOCUSED_FILE_rep2","M12_FOCUSED_FILE",2,false,false,true,false,83877
"BASE_VERIFY_M12_FOCUSED_FILE_rep3","M12_FOCUSED_FILE",3,false,false,true,false,44557
"BASE_VERIFY_M12_FOCUSED_FILE_rep4","M12_FOCUSED_FILE",4,false,false,true,false,45309
"BASE_VERIFY_M12_FOCUSED_FILE_rep5","M12_FOCUSED_FILE",5,false,false,true,false,47253
"BASE_VERIFY_M13_EXPLICIT_OVERRIDES_FOCUS_rep1","M13_EXPLICIT_OVERRIDES_FOCUS",1,true,null,false,false,166902
"BASE_VERIFY_M13_EXPLICIT_OVERRIDES_FOCUS_rep2","M13_EXPLICIT_OVERRIDES_FOCUS",2,true,null,false,false,65999
"BASE_VERIFY_M13_EXPLICIT_OVERRIDES_FOCUS_rep3","M13_EXPLICIT_OVERRIDES_FOCUS",3,true,null,false,false,69584
"BASE_VERIFY_M13_EXPLICIT_OVERRIDES_FOCUS_rep4","M13_EXPLICIT_OVERRIDES_FOCUS",4,true,null,false,false,61810
"BASE_VERIFY_M13_EXPLICIT_OVERRIDES_FOCUS_rep5","M13_EXPLICIT_OVERRIDES_FOCUS",5,true,null,false,false,73111
"BASE_VERIFY_M14_STALE_CONTENT_SAFETY_rep1","M14_STALE_CONTENT_SAFETY",1,false,null,true,false,42095
"BASE_VERIFY_M14_STALE_CONTENT_SAFETY_rep2","M14_STALE_CONTENT_SAFETY",2,false,null,true,false,47652
"BASE_VERIFY_M14_STALE_CONTENT_SAFETY_rep3","M14_STALE_CONTENT_SAFETY",3,false,null,true,false,41003
"BASE_VERIFY_M14_STALE_CONTENT_SAFETY_rep4","M14_STALE_CONTENT_SAFETY",4,false,null,true,false,44341
"BASE_VERIFY_M14_STALE_CONTENT_SAFETY_rep5","M14_STALE_CONTENT_SAFETY",5,false,null,true,false,39444
